Institute_Name,Factor,Weightage,Unit,Formula,Minimum_Requirement,Maximum_Score,Verified
IIM Ahmedabad,CAT cutoff,,Percentile,,CAT ≥95 overall; ≥85 sectional for General/EWS,,Yes
IIM Ahmedabad,Composite score,,Formula,CS = 0.35×(AR/38) + 0.65×(CAT/204),,,Yes
IIM Ahmedabad,Academic Rating,,Formula,AR = A+B+C+D+E,,38,Yes
IIM Ahmedabad,Work experience,,Points,"0.20×(months−11), capped at 5",,5,Yes
IIM Ahmedabad,Gender diversity,,Points,,,3,Yes
IIM Ahmedabad,Academic thresholds,,Threshold,,Stream-wise P threshold and 80th-percentile bachelor threshold by category/group,,Yes
IIM Bangalore,Pre-PI score,CAT 55 + 10th 10 + 12th 10 + Bachelor 10 + WorkEx/ProfCourse 10 + Gender 5,Points,,,100,Yes
IIM Bangalore,CAT sectional composition,19 / 21 / 15,Points,,,55,Yes
IIM Bangalore,Work-experience formula,,Points,10x/36 for x<36; 10 at x≥36,,10,Yes
IIM Bangalore,Professional-course interaction,,Rule,Higher of work-ex score or professional-course score,,10,Yes
IIM Bangalore,Standardization formula,,Formula,"Max[0,min{wt, wt/2 + ((val-mean)/sd)×wt/6}]",,,Yes
IIM Calcutta,Stage-I CAT cutoffs,,Percentile,,Open 85/80/80/75 and category-wise minima,,Yes
IIM Calcutta,Stage-II shortlist formula,CAT 56 + Class 10 10 + Class 12 15 + Gender 4,Points,,,85,Yes
IIM Calcutta,Class 10 brackets,10/8/6/4/2/0,Points,,,10,Yes
IIM Calcutta,Class 12 brackets,15/12/9/6/3/0,Points,,,15,Yes
IIM Calcutta,Gender diversity,4,Points,,,4,Yes
IIM Lucknow,Cutoffs,,Percentile,,General MBA 90 overall / 85 sectional,,Yes
IIM Lucknow,Composite shortlist formula,0.60 CS + 0.10 12M + 0.10 GM + 0.10 WE + 0.05 DFa + 0.05 DFb,Formula,0.60 CS + 0.10 12M + 0.10 GM + 0.10 WE + 0.05 DFa + 0.05 DFb,,,Yes
IIM Lucknow,CS formula,,Formula,Scaled CAT = candidate CAT / highest CAT × 60,,60,Yes
IIM Lucknow,Class 12 percentile formula,0.10 12M,Formula,12M from five-year pooled board/discipline percentile,,,Yes
IIM Lucknow,Graduation normalization,0.10 GM,Formula,Discipline-wise normalized GM,,,Yes
IIM Lucknow,Work experience,0.10 WE,Points,MBA formula from x>6; ABM zero; SM requires x>24,,,Yes
IIM Lucknow,Diversity factors,0.05 DFa + 0.05 DFb,Points,,,10,Yes
IIM Indore,CAT cutoffs,,Percentile,,Gen/EWS 90/80; NC-OBC 80/70; SC 60/55; ST/PwD 45/40,,Yes
IIM Indore,Stage-II shortlist weights,10th 10 + 12th 25 + VARC16 + DILR16 + QA23 + DF7 + WE0–3,Points,,,100,Yes
