Institute_Name,Factor_Name,Factor_Category,Published_Value,Published_Unit,Formula,Mandatory,Verification_Status,Admission_Cycle,Source_Type,Source_Reference
IIM Ahmedabad,CAT cutoffs,Entrance Exam,CAT ≥95 overall; ≥85 sectional for General/EWS; category and PwD values also published separately,Percentile,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA shortlisting criteria PDF [16]
IIM Ahmedabad,GMAT / GMAT Focus overseas route,Entrance Exam,GMAT Focus total 665; previous GMAT total 720; section minima published,Score,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA shortlisting criteria PDF [16]
IIM Ahmedabad,Shortlist formula,Entrance Exam,Composite Score,Formula,CS = 0.35×(AR/38) + 0.65×(CAT/204),Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA shortlisting criteria PDF; admissions page [17]
IIM Ahmedabad,Academic Rating methodology,Academics,AR = A+B+C+D+E,Formula,AR = A+B+C+D+E,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page [18]
IIM Ahmedabad,Work experience,Work Experience,"0.20×(months−11), capped at 5",Points,"0.20×(months−11), capped at 5",No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page [19]
IIM Ahmedabad,Gender diversity,Diversity,male = 0; all others = 3,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page [20]
IIM Ahmedabad,Academic thresholds,Academics,Stream-wise P threshold and 80th-percentile bachelor threshold by category/group,Threshold,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page; shortlisting PDF [21]
IIM Bangalore,Pre-PI score weights,Other,CAT 55 + 10th 10 + 12th 10 + Bachelor 10 + WorkEx/ProfCourse 10 + Gender 5,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [24]
IIM Bangalore,CAT sectional composition,Entrance Exam,19 / 21 / 15,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [25]
IIM Bangalore,Work-experience formula,Work Experience,10x/36 for x<36; 10 at x≥36,Points,10x/36 for x<36; 10 at x≥36,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [26]
IIM Bangalore,Professional-course interaction,Professional Qualification,Higher of work-ex score or professional-course score,Rule,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [27]
IIM Bangalore,Standardization formula,Other,"Max[0,min{wt, wt/2 + ((val-mean)/sd)×wt/6}]",Formula,"Max[0,min{wt, wt/2 + ((val-mean)/sd)×wt/6}]",Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [25]
IIM Bangalore,Direct PI bypass,Other,Top-10 performers in certain categories automatically qualify for PI,Rule,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [28]
IIM Calcutta,Stage-I CAT cutoffs,Entrance Exam,Open 85/80/80/75 and category-wise minima; actual shortlist cutoffs may be higher,Percentile,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [31]
IIM Calcutta,Stage-II shortlist formula,Other,CAT 56 + Class 10 10 + Class 12 15 + Gender 4,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [32]
IIM Calcutta,Class 10 brackets,Academics,10/8/6/4/2/0,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [33]
IIM Calcutta,Class 12 brackets,Academics,15/12/9/6/3/0,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [33]
IIM Calcutta,Gender diversity,Diversity,4 marks for female/transgender,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [32]
