Institute_Name,Institute_Type,Entrance_Exam,Admission_Cycle,Verification_Status,Confidence_Level,Source_Type,Shortlisting_Pathway,Shortlisting_Formula,Remarks
IIM Ahmedabad,IIM,CAT; GMAT/GMAT Focus for overseas/ex-India route,2026–28 / CAT 2025,Verified Official,High,Official,Domestic shortlist through CAT + Academic Rating composite; separate overseas/GMAT route,CS = 0.35×(AR/38) + 0.65×(CAT/204),"Production values admit only verified official formula, AR, CAT cutoffs, work-experience, gender diversity, and academic-threshold mechanics."
IIM Bangalore,IIM,CAT,2026–28 / CAT 2025,Verified Official for core methodology,Medium,Official,"Pre-PI composite score with CAT, academics, work experience/professional course, gender, and top-performer bypass",Pre-PI = CAT 55 + 10th 10 + 12th 10 + Bachelor 10 + WorkEx/ProfCourse 10 + Gender 5,Current-cycle numeric CAT cutoffs were not admitted because the report found prior-cycle carry-forward.
IIM Calcutta,IIM,CAT,2026–28 / CAT 2025,Verified Official,High,Official,Stage-I CAT minimums followed by Stage-II shortlist score,Stage-II = CAT 56 + Class 10 10 + Class 12 15 + Gender 4,Graduation and work experience are verified as 0% in the shortlist stage.
IIM Lucknow,IIM,CAT,2026–28 / CAT 2025,Verified Official,High,Official,"Composite shortlist score using scaled CAT, Class 12, graduation, work experience, and diversity factors",0.60 CS + 0.10 12M + 0.10 GM + 0.10 WE + 0.05 DFa + 0.05 DFb,Program-specific MBA/MBA-ABM/MBA-SM nuances retained where explicitly verified.
IIM Indore,IIM,CAT,2026–28 / CAT 2025,Verified Official for shortlist weights,Medium,Official,"Stage-II shortlist weights using school academics, CAT sectional components, diversity factor, and work experience",10th 10 + 12th 25 + VARC16 + DILR16 + QA23 + DF7 + WE0–3,Only official corrected category cutoffs and verified weights are admitted; unverified beneficiary and work-experience curve details are excluded.
IIM Kozhikode,IIM,CAT,2026–28 / CAT 2025,Verified Official,Medium,Official,"Aggregate Index Score using CAT, Class X, Class XII, diversity, and work experience after registration stage",AIS = CAT 50 + Class X 15 + Class XII 20 + Gender 10 / Academic 5 + WorkEx 5,The institute-native shortlist stage is Stage 2; production data uses pre-interview shortlist concept.
IIM Shillong,IIM,CAT for domestic applicants; GMAT for overseas applicants,2026–28,Verified Official for core methodology,High,Official,Phase 1 PI shortlist via CAT percentile plus NARS; Phase 2 final merit after PI,Composite Score = 65% CAT + 35% NARS,Domestic production pathway uses CAT + NARS; non-flagship executive exam line excluded.
IIM Ranchi,IIM,CAT via JAP 2026,2026–28,Verified Official with material corrections,High,Official,Institute-specific initial PI shortlist followed by final CML,Initial PI shortlist: General 95.25 overall with 75 sectional percentiles and positive scaled scores; Final CML = 65 CAT + 20 Profile + 15 PI,The common JAP 90 minimum was not retained as Ranchi-specific shortlist cutoff.
IIM Raipur,IIM,CAT via JAP 2026,2026–28,Verified Official for final-score model,Medium,Official,JAP registration followed by institute-specific final score model,Final Score = CAT 50 + PI 40 + Class X 15 + Class XII 15 + Work Experience 15 + Gender 8 + Profile 5 + Academic Diversity 2,Gender and academic-diversity marks are mutually exclusive. Extracted 96.25 cutoff not admitted.
IIM Rohtak,IIM,,2026–28 source unresolved,No verified production factors admitted,Low,,Lack of verified official data,,All extracted factor values were excluded from production datasets because current official verification failed.
